kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.channelTitle,snippet.localized.title,snippet.localized.description,contentDetails.itemCount,nextPageToken,totalResults,resultsPerPage,param_part,param_channelId,param_maxResults,param_pageToken,queryTime,prevPageToken
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFvWFE6u2Xfg5_0w4hGCiCE_,2020-02-04 18:09:54+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Joseph Videos,"Videos from the Oregon trio.






NYE
Shivers
Lifted Away
White Flag
SOS
Planets
Good Luck, Kid",https://i.ytimg.com/vi/UVzikVf_zNw/default.jpg,120,90,https://i.ytimg.com/vi/UVzikVf_zNw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/UVzikVf_zNw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/UVzikVf_zNw/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/UVzikVf_zNw/maxresdefault.jpg,1280.0,720.0,Vevo,Joseph Videos,"Videos from the Oregon trio.






NYE
Shivers
Lifted Away
White Flag
SOS
Planets
Good Luck, Kid",10,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFtPyQr2_gL2f3e2e4IKdDrD,2020-02-03 21:56:51+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Lupe Fiasco Videos,"Videos from Chicago's rapper/activist, Lupe Fiasco. 















lupe fiasco, lupe, fiasco, videos, music, hip hop, daydreamin', jill scott, cripple, elena pinderhughes, gizzle, ed sheeran, old school love, around my way, paris, tokyo, kick push, hip hop saved my life",https://i.ytimg.com/vi/qxDHFZ8irwk/default.jpg,120,90,https://i.ytimg.com/vi/qxDHFZ8irwk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qxDHFZ8irwk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/qxDHFZ8irwk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/qxDHFZ8irwk/maxresdefault.jpg,1280.0,720.0,Vevo,Lupe Fiasco Videos,"Videos from Chicago's rapper/activist, Lupe Fiasco. 















lupe fiasco, lupe, fiasco, videos, music, hip hop, daydreamin', jill scott, cripple, elena pinderhughes, gizzle, ed sheeran, old school love, around my way, paris, tokyo, kick push, hip hop saved my life",12,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFs5htLEhCMaGYBzOet6_YxE,2020-02-03 20:38:58+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Koffee Videos,"Vids from Grammy Award winning artist, Koffee. 













koffee, toast, gunna, w, rapture, govana, throne, raggamuffin, music, dancehall, reggae, videos, dscvr, jamaica, spanish town",https://i.ytimg.com/vi/XQF69A3oGjM/default.jpg,120,90,https://i.ytimg.com/vi/XQF69A3oGjM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/XQF69A3oGjM/hqdefault.jpg,480,360,https://i.ytimg.com/vi/XQF69A3oGjM/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/XQF69A3oGjM/maxresdefault.jpg,1280.0,720.0,Vevo,Koffee Videos,"Vids from Grammy Award winning artist, Koffee. 













koffee, toast, gunna, w, rapture, govana, throne, raggamuffin, music, dancehall, reggae, videos, dscvr, jamaica, spanish town",6,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFvo6afgA_w96wqq8Ly79sSy,2020-01-31 23:00:25+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Shania Twain 'The Woman In Me' Videos,"Videos from Shania Twain's 1995 album 'The Woman In Me'.









Home Ain't Where His Heart Is
Any Man of Mine
Whose Bed Have Your Boots Been Under
(If You're Not In It For Love) I'm Outta Here!
The Women In Me
Needs The Man In You
You Win My Love
No One Needs To Know
God Bless The Child",https://i.ytimg.com/vi/9qZCsbczfJU/default.jpg,120,90,https://i.ytimg.com/vi/9qZCsbczfJU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9qZCsbczfJU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/9qZCsbczfJU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/9qZCsbczfJU/maxresdefault.jpg,1280.0,720.0,Vevo,Shania Twain 'The Woman In Me' Videos,"Videos from Shania Twain's 1995 album 'The Woman In Me'.









Home Ain't Where His Heart Is
Any Man of Mine
Whose Bed Have Your Boots Been Under
(If You're Not In It For Love) I'm Outta Here!
The Women In Me
Needs The Man In You
You Win My Love
No One Needs To Know
God Bless The Child",8,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFt1ewwXiAS20IHleAQITyw8,2020-01-31 22:09:32+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Fifth Harmony 'Reflection' Videos,"Videos from the girl groups first studio album 'Reflection'.






Bo$$
BOSS
Sledgehammer
Worth It
Kid Ink
Reflection
We Know",https://i.ytimg.com/vi/Y4JfPlry-iQ/default.jpg,120,90,https://i.ytimg.com/vi/Y4JfPlry-iQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Y4JfPlry-iQ/hqdefault.jpg,480,360,https://i.ytimg.com/vi/Y4JfPlry-iQ/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/Y4JfPlry-iQ/maxresdefault.jpg,1280.0,720.0,Vevo,Fifth Harmony 'Reflection' Videos,"Videos from the girl groups first studio album 'Reflection'.






Bo$$
BOSS
Sledgehammer
Worth It
Kid Ink
Reflection
We Know",8,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFtvr1v6-mJQ1XixXXKvrbh8,2020-01-31 21:11:01+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Watch This - Playlist,‘Watch This’ invites a group of music fans to share their opinions on the week’s biggest videos!,https://i.ytimg.com/vi/nR1JkXyJPkA/default.jpg,120,90,https://i.ytimg.com/vi/nR1JkXyJPkA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nR1JkXyJPkA/hqdefault.jpg,480,360,https://i.ytimg.com/vi/nR1JkXyJPkA/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/nR1JkXyJPkA/maxresdefault.jpg,1280.0,720.0,Vevo,Watch This - Playlist,‘Watch This’ invites a group of music fans to share their opinions on the week’s biggest videos!,5,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFsFN5akhIjBzDs2FVRHwoIu,2020-01-31 17:08:26+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Yo Gotti 'Untrapped' Album,"The streets had Yo Gotti trapped and he is ready to be 'Untrapped' in his 10th studio album. 









yo gotti, untrapped, hip hop, rap, trapped, h.o.e, a boogie wit da hoodie, ty dolla $ign, like that, lil baby, put a date on it, megan thee stallion, lil uzi vert, pose, moneybagg yo, weekend, rick ross, dopechella, blac youngsta, battle, bounce that, estelle, memphis",https://i.ytimg.com/vi/BXfYEl6yeyk/default.jpg,120,90,https://i.ytimg.com/vi/BXfYEl6yeyk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BXfYEl6yeyk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/BXfYEl6yeyk/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/BXfYEl6yeyk/maxresdefault.jpg,1280.0,720.0,Vevo,Yo Gotti 'Untrapped' Album,"The streets had Yo Gotti trapped and he is ready to be 'Untrapped' in his 10th studio album. 









yo gotti, untrapped, hip hop, rap, trapped, h.o.e, a boogie wit da hoodie, ty dolla $ign, like that, lil baby, put a date on it, megan thee stallion, lil uzi vert, pose, moneybagg yo, weekend, rick ross, dopechella, blac youngsta, battle, bounce that, estelle, memphis",15,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFuiaZSs6yxJ8vvBMR7Wf5MU,2020-01-31 16:53:06+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,10k.Caash 'Planet Swajjur' Album,"'The Whoa' ambassador and Dallas dancer/rapper 10k.Caash's second album, 'Planet Swajjur'. 









10k.caash, planet swajjur, planet, swajjur, music, hip hop, rap, flip flop, tyfontaine, crowd roars, tisakorean, she gone shake, young jordan, rocky wrist, gun40, dsmooth66, zoey dollaz, spaceman swajjur, chance the rapper, me and my friends, sexton, overtime",https://i.ytimg.com/vi/e8hJ6PSnsoE/default.jpg,120,90,https://i.ytimg.com/vi/e8hJ6PSnsoE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/e8hJ6PSnsoE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/e8hJ6PSnsoE/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/e8hJ6PSnsoE/maxresdefault.jpg,1280.0,720.0,Vevo,10k.Caash 'Planet Swajjur' Album,"'The Whoa' ambassador and Dallas dancer/rapper 10k.Caash's second album, 'Planet Swajjur'. 









10k.caash, planet swajjur, planet, swajjur, music, hip hop, rap, flip flop, tyfontaine, crowd roars, tisakorean, she gone shake, young jordan, rocky wrist, gun40, dsmooth66, zoey dollaz, spaceman swajjur, chance the rapper, me and my friends, sexton, overtime",10,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFu6vlJPKiHDb2vfmOMK2PSL,2020-01-31 16:40:43+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,"Billy Ray Cyrus 'The Singin' Hills Sessions, Vol. I Sunset' EP","American singer-songwriter and actor, Billy Ray Cyrus takes a break from the ""Old Town Road"" on his 2020 EP 'The Singin' Hills Sessions, Vol. I Sunset'








Billy Ray Cyrus
The Singin' Hills Sessions, Vol. I 
I Am... I Said
Killing the Blues
She Always Goes
singer-songwriter
Country
Rock
Sunset
Shooter Jennings
Joe Henry",https://i.ytimg.com/vi/FwEDsCEXVjU/default.jpg,120,90,https://i.ytimg.com/vi/FwEDsCEXVjU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/FwEDsCEXVjU/hqdefault.jpg,480,360,https://i.ytimg.com/vi/FwEDsCEXVjU/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/FwEDsCEXVjU/maxresdefault.jpg,1280.0,720.0,Vevo,"Billy Ray Cyrus 'The Singin' Hills Sessions, Vol. I Sunset' EP","American singer-songwriter and actor, Billy Ray Cyrus takes a break from the ""Old Town Road"" on his 2020 EP 'The Singin' Hills Sessions, Vol. I Sunset'








Billy Ray Cyrus
The Singin' Hills Sessions, Vol. I 
I Am... I Said
Killing the Blues
She Always Goes
singer-songwriter
Country
Rock
Sunset
Shooter Jennings
Joe Henry",3,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
youtube#playlistListResponse,"""Fznwjl6JEQdo1MGvHOGaz_YanRU/2-ddj40mg8gClMulNTvZs32UwCQ""",PL9tY0BWXOZFvT1Y75CutjQh3C-gw2aOw1,2020-01-31 16:39:24+00:00,UC2pmfLm7iq6Ov1UwYrWYkZA,Alicia Keys 'Time Machine (Remixes)',"Jam out to remix versions of the R&B singer's single, 'Time Machine'.





Time Machine
Remix
MK
KC Lights 6am
Cedric Gervais
Alicia Keys",https://i.ytimg.com/vi/7XD0BAU2Jks/default.jpg,120,90,https://i.ytimg.com/vi/7XD0BAU2Jks/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7XD0BAU2Jks/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7XD0BAU2Jks/sddefault.jpg,640.0,480.0,https://i.ytimg.com/vi/7XD0BAU2Jks/maxresdefault.jpg,1280.0,720.0,Vevo,Alicia Keys 'Time Machine (Remixes)',"Jam out to remix versions of the R&B singer's single, 'Time Machine'.





Time Machine
Remix
MK
KC Lights 6am
Cedric Gervais
Alicia Keys",4,CDIQAA,2930,50,"snippet,contentDetails",UC2pmfLm7iq6Ov1UwYrWYkZA,50,,2020-02-05 12:42:53.131264+00:00,
